method,run,seed,test_R2,test_MSE,train_R2,train_MSE
baseline,0,1337,0.718659273253405,8.810603883531359,0.9970252025967948,0.09338610702090794
baseline,1,1338,0.7694053277272054,7.221415290126094,0.9957983383891388,0.13190036515394846
baseline,2,1339,0.7230844105408833,8.672023419980649,0.9970937158853727,0.0912353139784601
baseline,3,1340,0.7337722649120664,8.337316972238046,0.9935460419954513,0.2026053755371659
baseline,4,1341,0.7244096616775708,8.630521544703731,0.9959255630308695,0.12790645603780393
baseline,5,1342,0.7378812887395538,8.20863668123881,0.9971147070138594,0.0905763457218806
baseline,6,1343,0.7478660852647709,7.895948657283077,0.9977641371072894,0.07018915950148194
baseline,7,1344,0.7345017241961764,8.314473946889242,0.9963891982208689,0.11335181610451804
baseline,8,1345,0.7269703304860925,8.550330568242956,0.9971871418863997,0.0883024384578069
baseline,9,1346,0.7321895681728083,8.386882110878274,0.9969475926579447,0.0958224708835284
